id;name;description;capacity;created_at;updated_at
1;generation Ball;Coordinator;21750;2024-12-21T15:45:43;2024-12-21T16:16:54
2;Refined optimize Wooden;Generic program;87268;2024-12-22T13:04:07;2024-12-21T17:02:55
3;Creative;Ergonomic Developer wireless;88182;2024-12-22T12:40:56;2024-12-22T04:49:36
4;olive;transmitting Arkansas;28132;2024-12-22T07:42:05;2024-12-21T20:46:09
5;New;Zealand;63055;2024-12-22T04:14:27;2024-12-22T02:23:21
6;wireless capacitor;haptic Granite;70505;2024-12-22T12:08:06;2024-12-21T15:12:46
7;Account Virginia neural;Account e-services;41987;2024-12-22T13:08:49;2024-12-22T10:01:06
8;International;Health;95709;2024-12-22T07:18:04;2024-12-22T08:15:44
9;IB synergistic;cross-platform Implementation;98544;2024-12-22T12:01:26;2024-12-22T13:30:28
10;Quality Balanced Platinum;interactive index;84216;2024-12-22T04:39:41;2024-12-21T14:47:01
